Category Name,Topic Name,Tag,Genre,Level,Type,Question,Option1,Option2,Option3,Option4,CorrectAnswer
Entertainment,Movies,Basic,All,easy,mcq,Who was Madhuri Dixit's female costar in Yeh Raaste Hai Pyaar Ke?   ,A. Mahima Chaudry,B. Preity Zinta,C. Rinke Khanna,D. Divya Dutta,B. Preity Zinta
Entertainment,Movies,Basic,All,medium,mcq,Who played Mrs Khiladi in Mr And Mrs Khiladi?,A. Raveena Tandon ,B. Karisma Kapoor,C. Juhi Chawla ,D. Manisha Koirala,C. Juhi Chawla 
Entertainment,Movies,Basic,All,hard,mcq,The cinematography of Subhash Ghai's Pardes was done by...?,A. Ashok Mehta ,B. Subrata Mitra ,C. Kabir Lal ,D. Santosh Sivan,C. Kabir Lal 
Entertainment,Movies,Basic,All,easy,mcq,Which year was the Amitabh Bachchan starrer Sharaabi released?,A. 1983 ,B. 1984,C. 1987,D. 1986,B. 1984
Entertainment,Movies,Basic,All,medium,mcq,The song Koi ladki hai in Yash Chopra's Dil To Pagal Hai was choreographed by...?,A. Farha Khan ,B. Ahmed Khan ,C. Ganesh Hegde,D. Shiamak Davar,D. Shiamak Davar
Entertainment,Movies,Basic,All,hard,mcq,"In Shekhar Kapur's Masoom, who plays the part of Jugal Hansraj's mother?",A. Shabana Azmi ,B. Supriya Pathak ,C. Jaya Bahaduri ,D. Tanuja,B. Supriya Pathak 
Entertainment,Movies,Basic,All,easy,mcq,The name of Manisha Koirala's character in Khamoshi-The Musical was...?,A. Annie ,B. Mary ,C. Susan,D. Manisha,A. Annie
Entertainment,Movies,Basic,All,medium,mcq,"""Baazigar"", ""Gupt"", ""Dushman"" and ""Fanaa"" were all thrillers. Which of the following actors or actresses appeared in these four films?",A. Kajol ,B. Shahrukh Khan ,C. Shilpa Shetty ,D. Salman Khan,A. Kajol 
Entertainment,Movies,Basic,All,hard,mcq,"""Kaal"", ""Zinda"", ""Taxi No 9211"", ""Dhoom"" and ""Kabul Express"" were films where a love story was not the main plot. Which of the following actors or actresses appeared in all these five films?",A. Arshad Warsi ,B. John Abraham ,C. Rani Mukherjee ,D. Lara Dutta,B. John Abraham 
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
